what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354691369003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354691520949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354691625458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1354691721286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354691722992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354691751933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354691822252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354691846732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354691846920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354691846954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354691866709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354691871250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354691909232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354691918968
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1354691925751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354691939723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354691940625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354691942214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1354691951711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354691952084
