what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1354674960240
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354674961386
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354674965401
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354674985221
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354674985390
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354674985714
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354674985898
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354674985999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354674990797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354675005158
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1354675007789
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1354675007836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354675012941
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354675016311
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354675018744
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354675029533
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354675037343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354675049481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354675052005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354675067312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354675082696
