what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1354684696583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354684717084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354684738709
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354684754108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354684827890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354684850474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354684888963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354684951360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354684956857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354684963469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354684963599
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1354684971488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354684971663
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354684977527
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1354684979029
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354684979788
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354684984151
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354684991322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685001092
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354685003316
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354685007147
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354685015853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685021391
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354685023879
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354685025993
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354685033799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685040192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685049049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685072405
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354685073721
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354685075681
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354685088809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685093956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685102478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685108659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685183875
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354685183905
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354685186035
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354685221123
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1354685241025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685271934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685462944
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354685463006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685464550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685478098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685482008
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1354685486448
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1354685486472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685493848
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354685494830
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354685496670
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354685505102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685508036
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354685515919
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354685518140
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354685525531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685529665
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354685531236
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354685533671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685537089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685537227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685538905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685556543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685556999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685598151
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354685607936
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1354685610828
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354685622850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1354685632118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685639943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685657810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685674524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685674633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685686300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685697338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685703285
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354685705687
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354685708096
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354685715861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1354685717528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685720309
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354685725366
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354685727423
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354685741777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685759921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685781970
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354685783785
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354685785895
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354685797678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1354685798720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685835613
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685838195
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354685840088
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354685842310
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354685873415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685899765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354685901582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354685913996
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354685916649
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354685918354
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354685946228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1354686022060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354686027090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354686029066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354686031939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354686050145
